CompanyName,Symbol,Sector,Keyword,Index
Asian Paints Limited,ASIANPAINT,NS,"Asian Paints, asian paints, asian paints limited, asian paints ltd, ASIANPAINT","NIFTY 100, NIFTY 200, NIFTY 50, NIFTY 500"
Asian Granito Ind. Ltd.,ASIANTILES,NS,"Asian Granito, asian granito ind., asian granito ind. ltd., Asian Granito India, ASIANTILES",NI
Ask Automotive Limited,ASKAUTOLTD,NS,"ask automotive, Ask Automotive, ask automotive limited, ASKAUTOLTD",NI
Aspinwall & Co Limited,ASPINWALL,NS,"ASPINWALL, aspinwall & co, aspinwall & co limited, Aspinwall & Company",NI
Astec Lifesciences Limited,ASTEC,NS,"ASTEC, astec lifesciences, Astec Lifesciences, astec lifesciences limited",NI
Aster Dm Healthcare Ltd.,ASTERDM,"NIFTY MIDSMALL HEALTHCARE, NIFTY500 HEALTHCARE","Aster Dm Healthcare, aster dm healthcare, aster dm healthcare ltd., ASTERDM",NIFTY 500
Astral Limited,ASTRAL,NS,"ASTRAL, astral, Astral, astral limited","NIFTY 200, NIFTY 500"
Astra Microwave Limited,ASTRAMICRO,NS,"astra microwave, Astra Microwave, astra microwave limited, ASTRAMICRO",NI
Astrazeneca Pharma Ind Lt,ASTRAZEN,NIFTY500 HEALTHCARE,"ASTRAZEN, Astrazeneca, Astrazeneca Pharma, astrazeneca pharma ind lt, Astrazeneca Pharma India",NIFTY 500
Astron Paper Bord Mil Limited,ASTRON,NS,"ASTRON, Astron Paper and Board Mill, astron paper bord mil, astron paper bord mil limited",NI
Atal Realtech Limited,ATALREAL,NS,"atal realtech, Atal Realtech, atal realtech limited, ATALREAL",NI
Atam Valves Limited,ATAM,NS,"ATAM, atam valves, Atam Valves, atam valves limited",NI
Adani Total Gas Limited,ATGL,NIFTY OIL & GAS,"adani enterprises, adani enterprises ltd, Adani Total Gas, adani total gas, adani total gas limited, ADANIENT, ATGL","NIFTY 200, NIFTY 500"
Ather Energy Limited,ATHERENERG,NS,"ather energy, Ather Energy, ather energy limited, ATHERENERG",NIFTY 500
Allcargo Terminals Limited,ATL,NS,"allcargo terminals, Allcargo Terminals, allcargo terminals limited, ATL",NI
Atlanta Electricals Limited,ATLANTAELE,NS,"atlanta electricals, Atlanta Electricals, atlanta electricals limited, ATLANTAELE",NI
Atlas Cycle (Haryana) Limited,ATLASCYCLE,NS,"atlas cycle (haryana), atlas cycle (haryana) limited, Atlas Cycle Haryana, ATLASCYCLE",NI
Atul Limited,ATUL,NIFTY CHEMICALS,"ATUL, Atul, atul, atul limited",NIFTY 500
Atul Auto Limited,ATULAUTO,NS,"Atul Auto, atul auto, atul auto limited, ATULAUTO",NI
Au Small Finance Bank Limited,AUBANK,NIFTY MIDSMALL FINANCIAL SERVICES,"Au Small Finance Bank, au small finance bank, au small finance bank limited, au small finance bank ltd, AUBANK","NIFTY 200, NIFTY 500, NIFTY BANK"
Auri Grow India Limited,AURIGROW,NS,"Auri Grow, Auri Grow India, auri grow india, auri grow india limited, AURIGROW",NI
Aurionpro Soln Limited,AURIONPRO,NS,"Aurionpro, AURIONPRO, aurionpro soln, aurionpro soln limited, Aurionpro Solutions",NI
Aurobindo Pharma Limited,AUROPHARMA,"NIFTY HEALTHCARE INDEX, NIFTY MIDSMALL HEALTHCARE, NIFTY PHARMA, NIFTY500 HEALTHCARE","Aurobindo Pharma, aurobindo pharma, aurobindo pharma limited, AUROPHARMA","NIFTY 200, NIFTY 500"
Aurum Proptech Limited,AURUM,NS,"AURUM, aurum proptech, Aurum Proptech, aurum proptech limited",NI
Ausom Enterprise Limited,AUSOMENT,NS,"Ausom Enterprise, ausom enterprise, ausom enterprise limited, AUSOMENT",NI
Automotive Axles Limited,AUTOAXLES,NS,"AUTOAXLES, automotive axles, Automotive Axles, automotive axles limited",NI
Autoline Industries Limited,AUTOIND,NS,"AUTOIND, autoline industries, Autoline Industries, autoline industries limited",NI
Avadh Sug & Energy Limited,AVADHSUGAR,NS,"Avadh Sug & Energy, avadh sug & energy, avadh sug & energy limited, Avadh Sugar and Energy, AVADHSUGAR",NI
Avalon Technologies Limited,AVALON,NS,"AVALON, avalon technologies, Avalon Technologies, avalon technologies limited",NI
Avantel Limited,AVANTEL,NS,"Avantel, avantel, AVANTEL, avantel limited",NI
